URL	Pret	Model Procesor:	Chipset video:	CPUMark	GPUMark	Capacitate HDD:	Tip unitate stocare:	Memorie standard:	Diagonala LCD	Rezolutie optima:	Greutate (Kg):	Sistem de operare:
http://www.cel.ro/laptop-laptopuri/laptop-alienware-18-i7_4810mq-1tbplus80gb-16gb-dual-gtx880m-16gb-win8-l/	10074	intel core i7 4810mq 	gtx 880m	8793	3679	1000	ssh	16	18.4	1920 x 1080	5.47 kg	windows 8
http://www.cel.ro/laptop-laptopuri/laptop-hp-probook-450-g3-i3_6100u-500gb_7200rpm-4gb-r7-m340-1gb-fingerprint-l/	2149	intel core i3 6100u	r7 m340	3505	-	500	hdd	4	15.6	1366 x 768	2.07	fara sistem
http://www.cel.ro/laptop-laptopuri/laptop-hp-elitebook-840-g2-i5_5300u-256gb-8gb-win7pro-fullhd-fingerprint-l/	6584	intel core i5 5300u	intel hd  5500	3803	560	256	ssd	8	14	1920 x 1080	1.55 kg	windows 7 pro
http://www.cel.ro/laptop-laptopuri/laptop-dell-inspiron-5551-pentium-quad-core-n3540-500gb-4gb-dvdrw-3-ani-garantie-l/	1399	intel pentium  n3540	intel hd 	1958	311	500	hdd	4	15.6	1366 x 768	2.24 kg	linux
http://www.cel.ro/laptop-laptopuri/laptop-toshiba-satellite-pro-c70_c_14m-i5_5200u-1tb-8gb-gf930m-2gb-hdplus-dvd_rw-l/	2699	intel core i5 5200u 	930m	3522	858	1000	hdd	8	17.3	1600 x 900	2.7kg	fara sistem
http://www.cel.ro/laptop-laptopuri/laptop-alienware-14-i5_4210m-1tbplus80gb-8gb-gtx750m-2gb-win8-l/	4534	intel core i5 4210m 	gtx 750m	4216	-	1000	hdd	8	14	1920 x 1080	2.77 kg	windows 8
http://www.cel.ro/laptop-laptopuri/laptop-dell-inspiron-5559-i7_6500u-2tb-16gb-radeon-r5-m335-4gb-fullhd-l/	4219	 intel core i7 6500u	r5 m335	4336	597	2000	hdd	16	15.6	1920 x 1080	2.3	linux
http://www.cel.ro/laptop-laptopuri/laptop-hp-probook-430-13.3-g2-i3_5010-500gb-4gb-fingerprint-resigilat-l/	1999	intel core i3 5010u 	intel hd  5500	3058	560	500	hdd	4	13.3	1366 x 768	1.5 kg	fara sistem
http://www.cel.ro/laptop-laptopuri/laptop-dell-inspiron-5558-i5_5200u-500gb-4gb-dvdrw-win10-l/	2399	intel core i5 5200u  	intel hd  5500	3522	560	500	hdd	4	15.6	1366 x 768	2 kg	windows 10
http://www.cel.ro/laptop-laptopuri/laptop-asus-g752vy-i7_6820hk-1tbplus512gb-32gb-gtx980m-8gb-bluray-win10-fullhd-l/	12499	intel core i7 6820hk	gtx 980m	9041	5894	512	ssd	32	17.3	1920 x 1080	4.4	windows 10
http://www.cel.ro/laptop-laptopuri/laptop-dell-precision-5510-i7_6820hq-512gb-16gb-quadro-m1000m-2gb-win7pro-fhd-l/	11459	intel core i7 6820hq	quadro m1000m	8489	1553	512	ssd	16	15.6	1920 x 1080	1.78	windows 7 pro
http://www.cel.ro/laptop-laptopuri/laptop-lenovo-b50_80-i3_4030u-500gb-4gb-fingerprint-l/	1399	intel core i3 4030u 	intel hd  4400	2703	547	500	hdd	4	15.6	1366 x 768	2.32kg	fara sistem
http://www.cel.ro/laptop-laptopuri/laptop-dell-latitude-e3550-i5_5200u-500gb_7200rpm-4gb-win8-pro-3ani-garantie-l/	3454	intel core i5 5200u 	intel hd  5500	3522	560	500	hdd	4	15.6	1366 x 768	2.2 kg	windows 8 pro
http://www.cel.ro/laptop-laptopuri/laptop-lenovo-ideapad-y50_70-i7_4720hq-1tbplus8gb-8gb-gtx960m-4gb-uhd-l/	4999	intel core i7 4720hq 	gtx960m	8112	1670	1000	ssh	8	15.6	3840 x 2160	2.4 kg	fara sistem
